"# setID","BGC_PaThWs","BGC_PaDesConst","BGC_ThDesConst","BGC_sigmaPaPOC","BGC_sigmaPaCa","BGC_sigmaPaOp","BGC_sigmaPaDu","BGC_sigmaPaNeph","BGC_sigmaThPOC","BGC_sigmaThCa","BGC_sigmaThOp","BGC_sigmaThDu","BGC_sigmaThNeph"
1000,1400,1,1,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1001,1400,1.5,1.5,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1002,1400,2,2,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1003,1400,2.2,2.2,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1004,1400,2.4,2.4,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1005,1400,2.6,2.6,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1006,1400,2.8,2.8,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1007,1400,3,3,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1008,1400,3.2,3.2,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1009,1400,3.4,3.4,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1010,1400,3.6,3.6,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1011,1400,3.8,3.8,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1012,1400,4,4,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1013,1400,4.5,4.5,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1014,1400,5,5,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1015,1400,3.1,3.1,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1016,1400,3.3,3.3,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1017,1400,3.5,3.5,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1018,1400,3.7,3.7,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1019,1400,3.9,3.9,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1020,1000,1,1,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.0023,0.028
1021,1000,1.5,1.5,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.0023,0.028
1022,1000,2,2,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.0023,0.028
1023,1000,2.2,2.2,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.0023,0.028
1024,1000,2.4,2.4,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.0023,0.028
1025,1000,2.6,2.6,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.0023,0.028
1026,1000,2.8,2.8,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.0023,0.028
1027,1000,3,3,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.0023,0.028
1028,1000,3.1,3.1,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.0023,0.028
1029,1000,3.2,3.2,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.0023,0.028
1030,1000,3.3,3.3,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.0023,0.028
1031,1000,3.4,3.4,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.0023,0.028
1032,1000,3.5,3.5,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.0023,0.028
1033,1000,3.6,3.6,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.0023,0.028
1034,1000,3.7,3.7,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.0023,0.028
1035,1000,3.8,3.8,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.0023,0.028
1036,1000,3.9,3.9,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.0023,0.028
1037,1000,4,4,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.0023,0.028
1038,1000,4.5,4.5,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.0023,0.028
1039,1000,5,5,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.0023,0.028
1040,1400,4.1,4.1,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1041,1400,4.2,4.2,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1042,1400,4.3,4.3,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1043,1400,4.4,4.4,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1044,1400,4.6,4.6,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1045,1400,4.7,4.7,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1046,1400,4.8,4.8,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1047,1400,4.9,4.9,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1048,1000,4.1,4.1,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.0023,0.028
1049,1000,4.2,4.2,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.0023,0.028
1050,1000,4.3,4.3,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.0023,0.028
1051,1000,4.4,4.4,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.0023,0.028
1052,1000,4.6,4.6,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.0023,0.028
1053,1000,4.7,4.7,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.0023,0.028
1054,1000,4.8,4.8,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.0023,0.028
1055,1000,4.9,4.9,0.02,0.23,0.22,0.0044,0.028,0.084,3.97,0.11,0.0023,0.028
1056,1600,1,1,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1057,1600,1.5,1.5,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1058,1600,2,2,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1059,1600,2.2,2.2,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1060,1600,2.4,2.4,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1061,1600,2.6,2.6,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1062,1600,2.8,2.8,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1063,1600,3,3,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1064,1600,3.1,3.1,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1065,1600,3.2,3.2,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1066,1600,3.3,3.3,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1067,1600,3.4,3.4,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1068,1600,3.5,3.5,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1069,1600,3.6,3.6,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1070,1600,3.7,3.7,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1071,1600,3.8,3.8,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1072,1600,3.9,3.9,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1073,1600,4,4,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1074,1600,4.1,4.1,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1075,1600,4.2,4.2,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1076,1600,4.3,4.3,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1077,1600,4.4,4.4,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1078,1600,4.5,4.5,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1079,1600,4.6,4.6,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1080,1600,4.7,4.7,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1081,1600,4.8,4.8,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1082,1600,4.9,4.9,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1083,1600,5,5,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
