# setID,ï»¿BGC_PaThWs,BGC_PaDesConst,BGC_ThDesConst,BGC_sigmaPaPOC,BGC_sigmaPaCa,BGC_sigmaPaOp,BGC_sigmaPaDu,BGC_sigmaPaNeph,BGC_sigmaThPOC,BGC_sigmaThCa,BGC_sigmaThOp,BGC_sigmaThDu,BGC_sigmaThNeph
_WS0000,0,2.4,2.4,0.013,0.12,0.11,0.00222,0.0142,0.084,3.97,0.11,0.00226,0.0282
_WS0100,100,2.4,2.4,0.013,0.12,0.11,0.00222,0.0142,0.084,3.97,0.11,0.00226,0.0282
_WS0500,500,2.4,2.4,0.013,0.12,0.11,0.00222,0.0142,0.084,3.97,0.11,0.00226,0.0282
_WS1000,1000,2.4,2.4,0.013,0.12,0.11,0.00222,0.0142,0.084,3.97,0.11,0.00226,0.0282
_WS1500,1500,2.4,2.4,0.013,0.12,0.11,0.00222,0.0142,0.084,3.97,0.11,0.00226,0.0282
_WS2000,2000,2.4,2.4,0.013,0.12,0.11,0.00222,0.0142,0.084,3.97,0.11,0.00226,0.0282
_WS3000,3000,2.4,2.4,0.013,0.12,0.11,0.00222,0.0142,0.084,3.97,0.11,0.00226,0.0282
_WS4000,4000,2.4,2.4,0.013,0.12,0.11,0.00222,0.0142,0.084,3.97,0.11,0.00226,0.0282
_WS5000,5000,2.4,2.4,0.013,0.12,0.11,0.00222,0.0142,0.084,3.97,0.11,0.00226,0.0282
_PTCA00,1000,2.4,2.4,0.013,0,0.11,0.00222,0.0142,0.084,0,0.11,0.00226,0.0282
_PTCA01,1000,2.4,2.4,0.013,0.1,0.11,0.00222,0.0142,0.084,1,0.11,0.00226,0.0282
_PTCA02,1000,2.4,2.4,0.013,0.2,0.11,0.00222,0.0142,0.084,2,0.11,0.00226,0.0282
_PTCA03,1000,2.4,2.4,0.013,0.3,0.11,0.00222,0.0142,0.084,3,0.11,0.00226,0.0282
_PTCA04,1000,2.4,2.4,0.013,0.4,0.11,0.00222,0.0142,0.084,4,0.11,0.00226,0.0282
_PTCA05,1000,2.4,2.4,0.013,0.5,0.11,0.00222,0.0142,0.084,5,0.11,0.00226,0.0282
_PTCA06,1000,2.4,2.4,0.013,0.6,0.11,0.00222,0.0142,0.084,6,0.11,0.00226,0.0282
_PTCA07,1000,2.4,2.4,0.013,0.7,0.11,0.00222,0.0142,0.084,7,0.11,0.00226,0.0282
_PTCA08,1000,2.4,2.4,0.013,0.8,0.11,0.00222,0.0142,0.084,8,0.11,0.00226,0.0282